ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
DEMO-00011,2026-04-30 16:37,2026-04-30 17:17,2026-04-30 17:41,resolved,email,DEMO-C00011,,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A011,0,3.0,,,N,"Hi there,
[NAME] 2 from vireo.in in April. It has been 12 days and I have nothing in hand.
Can someone fix this?
[NAME]",re-shipped from warehouse [closed],helpdesk
DEMO-00012,2025-08-08 15:49,2025-08-08 15:53,2025-08-08 10:43,closed,chat,DEMO-C00012,DEMO-ORDER,VA-EB-PL2,Billing & Payments,Normal,Billing,DEMO-A012,0,3.0,3499.0,DUP-PAYMENT,N,"[NAME]/Madam,

I am writing with reference to my order of Pulse 2 placed on 30-07-2025.  Payment went through but I got no order id. I have waited 24 hours. I request you to provide a resolution within 3 working days.

Regards,
[NAME]",sorted ~Diya,legacy_fd
DEMO-00013,2025-11-29 00:30,2025-11-29 00:35,2025-11-29 00:43,resolved,chat,DEMO-C00013,,VA-SW-FIT,Other,Normal,Chat Frontline,DEMO-A013,0,4.0,,,N,"Hi team, I bought my [NAME] band on 23/11. Can I connect two my [NAME] band together. I want a replacement. Rgds,",closed ~Kabir,helpdesk
DEMO-00014,2025-12-02 11:19,2025-12-02 11:26,2025-12-02 11:54,resolved,chat,DEMO-C00014,,VA-SW-NX2,Delivery & Shipping,Normal,Logistics,DEMO-A014,0,2.0,,,N,Not what I expected from Vireo. Ordered the Nexa 2 2 weeks ago. I haven't recieved my order. I already called the courier. This is the lasst tiime I buy from you.,reported: shipment not rcvd. chk awb with courier. re-shipped from warehouse. will monitor.,helpdesk
DEMO-00015,2026-04-10 21:49,2026-04-11 01:14,2026-04-11 01:26,closed,email,DEMO-C00015,DEMO-ORDER,VA-SP-MINI,Billing & Payments,High,Billing,DEMO-A015,0,,,,N,"hi there,
got the mini speaker from vireo.in last week. the invoice pdf link gives a 404.
i tried different browser. nothing changed.
need this sorted this week.
rgds, faisal gupta",cx reported invoice query. regenerated invoice. gst invoice regenerated & shared.,helpdesk
DEMO-00016,2025-08-17 07:35,2025-08-17 09:17,2025-08-17 04:09,resolved,email,DEMO-C00016,DEMO-ORDER,VA-EB-AIR,Delivery & Shipping,Normal,Logistics,DEMO-A016,0,0.0,,,N,"[NAME],
Bought AirLite around 07 Aug from Amazon.  The courier marked it delivered but nobody in my house got anything.
I called the courier.
Not acceptable at this price.
Please call me on my registered number.
Thanks in advance",Contact re delivery delayed. Checked AWB with courier. Refund initiated as lost in transit.,legacy_fd
DEMO-00017,2025-03-09 11:31,2025-03-09 11:39,2025-03-09 06:32,resolved,chat,DEMO-C00017,,VA-SW-NX2,Other,Normal,Chat Frontline,DEMO-A017,0,0.0,,,N,"Product: Nexa 2
Order: [ID]
Purchased: 10/02
Issue: cannot pair Nexa 2 with my laptop
Tried: forgot the device and tried again
Expected: refund","ticket raised for device not discoverable. checked phne os version. advised fw update via app, resolved. [closed]",legacy_fd
DEMO-00018,2025-03-04 18:20,2025-03-05 00:43,2025-03-04 19:52,resolved,social,DEMO-C00018,DEMO-ORDER,VA-NB-ARC,Charging & Battery,Normal,Chat Frontline,DEMO-A018,0,0.0,,,N,"[NAME] support, I bought the neckband on 12-01-2025. Left bud won't charge even after keeping it in the case overnight. I tried another charger. Nothing changed. Please call me on my registered number. Thank you, Aishwarya",rslvd on call,legacy_fd
DEMO-00019,2025-11-17 19:26,2025-11-18 01:08,2025-11-20 01:19,resolved,social,DEMO-C00019,,VA-AC-CH65,Returns & Refunds,Normal,Returns Desk,DEMO-A019,0,,,,N,Honestly regretting this purchase. Ordered your charger a month ago. nobody caame for the pickup. I already called courier. This is the last time I buy from you.,Contact re pickup not done. Checked pickup AWB. Refund processed without pickup as goodwill. Closing.,helpdesk
DEMO-00020,2026-02-21 10:54,2026-02-21 12:00,2026-02-21 12:18,resolved,email,DEMO-C00020,,VA-EB-PL2,Connectivity,Normal,Email Frontline,DEMO-A020,0,5.0,,,N,"dear sir/madam,

i am writing with reference to my order of the pulse 2 earbuds placed on 03/02. it goes silent for a second every few minutes & comes back. i have reset both devices. i request you to provide a resolution within 3 working days.

sincerely,
swati gupta
thiruvananthapuram","intermittent disconnects | chk interference sources -> adv, cx will monitor (SOP 3.1) ~Sukhwinder",helpdesk
DEMO-00021,2025-09-23 18:25,2025-09-23 18:27,2025-09-23 18:55,resolved,chat,DEMO-C00021,,VA-EB-PL2,Audio Quality,Normal,Chat Frontline,DEMO-A001,0,,,,Y,"hi
left sde has no audio at all
urgent","no audio one side | asked cx to check bud in case -> replacement raised, rma shared w/ cx",helpdesk
DEMO-00022,2025-05-12 09:47,2025-05-12 13:34,2025-05-12 08:22,resolved,email,DEMO-C00022,DEMO-ORDER,VA-EB-PL1,Connectivity,Normal,Email Frontline,DEMO-A002,0,0.0,,,N,"[NAME] earbuds from Amazoon around Diwali.  Blueooth keeps cutting out.
I reset both devices. Nothing changed.
Please advise.
Awaitting response",ticket raised for intermittent disconnects. checked fw 2.2.5. replacement raised. cx satisfied on chat. -YM,legacy_fd
DEMO-00023,2025-10-12 15:12,2025-10-12 15:19,2025-10-12 15:43,resolved,chat,DEMO-C00023,DEMO-ORDER,VA-EB-PL1,Other,Normal,Chat Frontline,DEMO-A003,0,4.0,2499.0,DUP-PAYMENT,N,"hello, i bought pulse earbuds on october 12. i was charged twice for one order. i checked with bank. please help. please revert, shreya",as discussed,helpdesk
DEMO-00024,2026-02-14 12:25,2026-02-14 12:28,2026-02-14 12:47,closed,chat,DEMO-C00024,DEMO-ORDER,VA-EB-PL2,App & Firmware,Normal,Chat Frontline,DEMO-A004,0,,,,N,"bhai
can't get past the loading screen in the app
pulse2 [ID]
pls reply","cx reached out - app crash on device page. Known issue on Android 14 - bug logged. Bug logged, workaround shared. (SOP 4.2)",helpdesk
DEMO-00025,2026-02-12 18:20,2026-02-12 18:58,2026-02-12 19:16,resolved,voice,DEMO-C00025,DEMO-ORDER,VA-EB-PL1,Other,Normal,Voice Frontline,DEMO-A005,0,,,,N,"[IVR transcript] ordeered the wrong colour, don't ship it - please call me on my registered number","cx says order cancellation. cancelled before dispatch. cancelled, rfnd initiated. ~Vihaan",helpdesk
DEMO-00026,2025-10-13 18:35,2025-10-13 18:46,2025-10-16 19:03,closed,chat,DEMO-C00026,DEMO-ORDER,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A006,0,3.0,,,N,"hello vireo,
i bought my pulse 2 on 21/11. i haven't received my order.
i checked the tracking page daily.
i want a replacement.
rgds,","contact re ord not delivered. raised ticket w/ crr partner. rto conf, reshipped. closing.",helpdesk
DEMO-00027,2025-09-02 19:30,2025-09-02 19:34,2025-09-07 19:50,resolved,chat,DEMO-C00027,,VA-SP-ORB,Delivery & Shipping,Low,Logistics,DEMO-A007,0,,,,N,"Still not fixed after your last 'resolution'.
Product: my [NAME]: 05-08-2025
Issue: my order has not been delivered yet
Tried: checked with neighbours
Expected: resolution","contact re dlvry delayed. raised ticket w/ crr partner. rto conf, reshipped. cx informed. [closed]",helpdesk
DEMO-00028,2025-12-05 10:41,2025-12-05 10:45,2025-12-08 11:14,resolved,chat,DEMO-C00028,,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A008,0,,,,N,this is very disappointing. bought the pulse 2 earbuds around 05-12-2025 from vireo.in. i ordered the pulse 2 earbuds and got something else. i already checked the invoice. escalate this to someone senior.,customer states wrong item delivered. verified order vs delivered item photos. reverse pkp + correct item shipped. closing.,helpdesk
DEMO-00029,2025-12-06 08:02,2025-12-06 08:17,2025-12-06 08:33,resolved,voice,DEMO-C00029,DEMO-ORDER,VA-EB-PL1,Connectivity,Normal,Voice Frontline,DEMO-A009,0,4.0,,,N,"[IVR transcript] dear team, bought pulse earbuds around october 26 from amazon. it goes silent for a second every few minutes and comes back. i reset both devices. please call me on my registered number. rgds sukhwinder",intermittent disconnects | advised to test in different location -> replacement raised ~Vihaan,helpdesk
DEMO-00030,2025-11-07 12:50,2025-11-07 13:31,2025-11-10 13:43,resolved,voice,DEMO-C00030,,VA-SP-MINI,Returns & Refunds,Normal,Returns Desk,DEMO-A010,0,3.0,1187.0,RETURN-QC-OK,N,[IVR transcript] This is very disappointing. Got orbit mini from vireo.in 3 weeks back. the return was accepted but the amount is nowhere in my account. I already checekd bank. Refund. Now.,Customer reached out - refund delay. Checked refund status on PG. Refund of Rs 1187 initiated to source.,helpdesk
DEMO-00031,2025-06-21 18:33,2025-06-21 19:31,2025-06-21 19:46,resolved,social,DEMO-C00031,DEMO-ORDER,VA-SW-NX2,Other,Normal,Chat Frontline,DEMO-A011,0,,5524.0,CANCEL,N,"bhai
cancel order vr892447
nexa 2 [ID]",refunded rs 5524. issue: cancel order. chk shipment status.,helpdesk
DEMO-00032,2025-10-03 03:53,2025-10-03 03:54,2025-10-05 05:00,resolved,chat,DEMO-C00032,,VA-SW-FIT,Warranty & Repair,Normal,Escalations & Warranty,DEMO-A012,0,4.0,1999.0,DOA-REPL,N,"hi,
ordered the fit band around diwali. screen has a crack before i even switched it on.
i took photos. nothing changed.
please call me on my registered number.","1. Damaged in transit
2. Photos received, damage confirmed
3. [NAME] 1999",helpdesk
DEMO-00033,2025-04-22 12:46,2025-04-22 14:06,2025-04-22 14:26,resolved,email,DEMO-C00033,DEMO-ORDER,VA-HP-ST3,Billing & Payments,High,Billing,DEMO-A013,0,,,,N,"Hello, [NAME] 3 from vireo.in a month ago. Invoice not downloading. I checked orders page. Honestly regretting this purchase. I want a replacement. Thank you, [NAME]",as discussed ~Diya,helpdesk
DEMO-00034,2025-11-05 14:16,2025-11-05 14:16,2025-11-06 14:34,resolved,chat,DEMO-C00034,,VA-HP-ST3,Delivery & Shipping,Normal,Logistics,DEMO-A014,0,4.0,,,Y,opened the parcel & it is a completely different thing. i want a replacement,reported: wrong variant received. raised w/ warehouse. rplc unit dispatched. follow-up not required. [closed],helpdesk
DEMO-00035,2026-06-26 19:30,2026-06-26 19:36,2026-06-29 20:08,resolved,chat,DEMO-C00035,DEMO-ORDER,VA-SP-ORB,Returns & Refunds,Normal,Returns Desk,DEMO-A015,0,4.0,5999.0,RETURN-QC-OK,N,"still waiting for my refund, vr884054","1. rfnd not credited
2. chk reverse pkp QC status
3. rfnd reprocessed",helpdesk
DEMO-00036,2025-09-10 08:05,2025-09-10 09:00,2025-09-10 04:00,resolved,social,DEMO-C00036,DEMO-ORDER,VA-HP-ST3,Returns & Refunds,Normal,Returns Desk,DEMO-A016,0,0.0,6299.0,RETURN-QC-OK,N,Not acceptable at this price. This is regarding my Strata 3 headphones. the box says my Strata 3 headphones but what's inside is not what I paid for. I already rechecked my order. Fix this or I am posting on twitter.,"Cx says incorrect product shipped. Raised with warehouse. Refund approved, Rs 6299, 5-7 working days.",legacy_fd
DEMO-00037,2025-08-04 17:50,2025-08-04 18:10,2025-08-07 13:04,resolved,chat,DEMO-C00037,DEMO-ORDER,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A017,0,0.0,,,N,it has been 6 days and i have nothing in hand. please help,"cx states ord not delivered. conf address with cx. rto conf, reshipped. cx informed. [closed]",legacy_fd
DEMO-00038,2026-05-07 23:39,2026-05-07 23:45,2026-05-07 23:54,resolved,chat,DEMO-C00038,DEMO-ORDER,VA-EB-PL2,Product Enquiry,Normal,Chat Frontline,DEMO-A018,0,,,,N,"product: pulse2
order: vr902473
purchased: 25/02
issue: will this survive a shower
expected: resolution","1. Pre-sales query
2. Shared spec sheet
3. Cx satisfied -SK",helpdesk
DEMO-00039,2025-10-09 11:54,2025-10-09 12:03,2025-10-09 12:33,resolved,chat,DEMO-C00039,,VA-AC-CASE,Returns & Refunds,Low,Returns Desk,DEMO-A019,0,5.0,1299.0,RETURN-QC-OK,N,"hey
refund not received yet",Cust contacted re refund delay. Checked refund status on PG. Refund of Rs 1299 initiated to source.,helpdesk
DEMO-00040,2025-12-20 18:27,2025-12-20 21:26,,open,social,DEMO-C00040,DEMO-ORDER,VA-EB-PL2,Other,Normal,Chat Frontline,DEMO-A020,0,4.0,,,N,"order not delivered, tracking not updating, please help","re: dlvry delayed | checked awb with crr -> rto conf, reshipped (SOP 4.2)",helpdesk
DEMO-00041,2025-09-14 08:53,2025-09-14 08:59,2025-09-14 09:37,resolved,chat,DEMO-C00041,DEMO-ORDER,VA-HP-ST3,Audio Quality,Normal,Chat Frontline,DEMO-A001,1,,,,Y,"Hi team, Bought my Strata 3 headdphones around 19 Jul frmo Flipkart.  Sounds like a badly tuned radio now. I tried different apps. Kindly look into it","Replacement raised, RMA shared with cx. Issue: crackling/distortion. Asked for a recording. [NAME] Desk.",helpdesk
DEMO-00042,2026-01-13 18:51,2026-01-13 19:05,2026-01-15 19:33,resolved,chat,DEMO-C00042,DEMO-ORDER,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A002,0,,700.0,LOST-TRANSIT,N,"hi
my order has not been delivered yet
pulse2 [ID]
kindly do the needful","cx says dlvry delayed. chk awb w/ courier. rfnd approved, rs 700, 5-7 working days. closing. [closed]",helpdesk
DEMO-00043,2025-10-07 21:14,2025-10-08 01:37,2025-10-08 01:58,resolved,email,DEMO-C00043,,VA-EB-PL2,Billing & Payments,Low,Billing,DEMO-A003,0,,,,N,"the invoice PDF link gives a 404
what do i do now?","1. invoice not downloading
2. updated gstin on order
3. gst invoice regenerated & shared",helpdesk
DEMO-00044,2026-06-26 12:27,2026-06-26 14:52,2026-06-26 15:21,resolved,email,DEMO-C00044,DEMO-ORDER,VA-EB-PL1,Charging & Battery,Low,Email Frontline,DEMO-A004,0,,1250.0,WTY-BUYBACK,N,"I have been a loyal customer & this is how you treat me.  Ordered my Pulse a month ago. LEFT EARBUD NOT CHARGING, RIGHT ONE IS FINE. I already removed & reinserted it 10 times. Escalate this to someone senior.",-,helpdesk
DEMO-00045,2026-04-20 09:44,2026-04-20 09:45,2026-04-20 09:55,resolved,chat,DEMO-C00045,DEMO-ORDER,VA-EB-PL1,Billing & Payments,High,Billing,DEMO-A005,0,3.0,,,N,"team,
change of mind, please stop the shipment
abhi tak kuch nahi hua
pulse 1 [ID]
??","cx: order cancellation | checked shipment status -> already shipped, advised rto/return",helpdesk
DEMO-00046,2025-06-27 07:36,2025-06-27 07:42,2025-06-27 02:22,resolved,chat,DEMO-C00046,,VA-SP-ORB,Product Enquiry,Normal,Chat Frontline,DEMO-A006,0,3.0,,,N,"Product: the Orbit smart speaker
Purchased: 25/06
Issue: is the Orbit smart speaker compatible with my TV
Expected: callback",Cx reported compatibility query. Shared spec sheet. Query answered. (SOP 3.1),legacy_fd
DEMO-00047,2025-08-22 14:40,2025-08-22 14:40,2025-08-23 09:23,resolved,chat,DEMO-C00047,,VA-EB-PL2,Billing & Payments,High,Billing,DEMO-A007,0,0.0,2974.0,RETURN-QC-OK,N,"got the pulse 2 earbuds from flipkart last week.  refund was promised 5 days ago and nothing. i emailed twice. how do i get this fixed? awaiting response,",refund reprocessed ~Diya,legacy_fd
DEMO-00048,2026-02-28 03:33,2026-02-28 04:12,2026-02-28 04:37,resolved,email,DEMO-C00048,DEMO-ORDER,VA-EB-PL2,Delivery & Shipping,Normal,Logistics,DEMO-A008,0,,,,N,"bought pulse 2 around 17 feb from amazon. my order has not been delivered yet.
please call me on my registered number.
thanks & regards",Cx says order not delivered. Confiirmed address with cx. Re-shipped from warehouse.,helpdesk
DEMO-00049,2026-01-27 13:09,2026-01-27 13:10,2026-01-27 13:49,resolved,chat,DEMO-C00049,,VA-SP-MINI,Billing & Payments,High,Billing,DEMO-A009,0,3.0,,,N,"Bought the mini speaker around 17/01 from vireo.in. My bank says Rs 1799 went to you but ur site says I have no orders.
I tried logging out and in. Nothing changed.
I am losing patience.
Kindly look into it.",ticket raised for failed order after payment. conf with payment gateway. rfnd processed to source.,helpdesk
DEMO-00050,2025-12-16 15:50,2025-12-16 15:59,2025-12-19 16:26,resolved,chat,DEMO-C00050,,VA-AC-CASE,Returns & Refunds,High,Returns Desk,DEMO-A010,0,,1299.0,RETURN-QC-OK,N,"Product: the charging case I ordered
Order: [ID]
Purchased: November 24
Issue: refund not received yet
Tried: emailed twice
Expected: replacement",re: refund not credited | checked reverse pkp qc status -> refund reprocessed,helpdesk
DEMO-00051,2025-04-22 13:49,2025-04-22 15:36,2025-04-25 10:24,resolved,voice,DEMO-C00051,DEMO-ORDER,VA-HP-ST2,Delivery & Shipping,Normal,Logistics,DEMO-A011,0,3.0,,,N,[IVR transcript] my order has not been delivered yet.  vr898570. please call me on my regiistered numebr,"1. Delivery delayed
2. Raised ticket w/ crr partner
3. RTO confirmed, reshipped",legacy_fd
DEMO-00052,2026-02-07 00:49,2026-02-07 06:37,2026-02-10 07:02,resolved,email,DEMO-C00052,,VA-AC-CBL,Delivery & Shipping,Normal,Logistics,DEMO-A012,0,2.0,,,N,"hello ji
tracking has said out for delivery for a week now
please help karo
braided cable
hello??","1. shipment not received
2. raised ticket with crr partner
3. crr confirmed dlvry for 11 feb, cx informed",helpdesk
DEMO-00053,2026-06-30 22:39,2026-06-30 22:59,2026-06-30 23:15,resolved,email,DEMO-C00053,DEMO-ORDER,VA-EB-PL2,Billing & Payments,High,Billing,DEMO-A013,0,,3499.0,DUP-PAYMENT,N,"dear sir/madam,

i am writing with reference to my ordder of pulse2 (vr909302) placed on 24-05-2026. two entries of rs 4999 on my statement for one pair of earbuds. i have checked with bank. i request you to look into this matter at the earliest.

sincerely,
jaspreet chauhan",second contact on same fault. refund of rs 3499 initiated to source. issue: duplicate payment. confirmed utrs.,helpdesk
DEMO-00054,2025-05-05 17:35,2025-05-05 18:23,2025-05-05 18:44,closed,voice,DEMO-C00054,DEMO-ORDER,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,DEMO-A014,0,,,,N,"[IVR transcript] return pickup has not happened, [ID]","pkp done, rfnd initiated. Issue: pkp not done. chk pkp AWB.",helpdesk
DEMO-00055,2026-04-11 11:50,2026-04-11 11:52,2026-04-11 12:18,resolved,chat,DEMO-C00055,DEMO-ORDER,VA-NB-ARC,Connectivity,Normal,Chat Frontline,DEMO-A015,0,,,,Y,"it goes silent for a second every few minutes and comes back
[ID]","Reported: BT dropouts. chk interference sources. rplc approved, reverse pkp arranged.",helpdesk
DEMO-00056,2026-05-20 21:29,2026-05-20 21:30,2026-05-20 21:54,resolved,chat,DEMO-C00056,DEMO-ORDER,VA-EB-PL2,Audio Quality,Normal,Chat Frontline,DEMO-A016,0,4.0,,,N,"this is very disappointing. ordered pulse 2 around diwali. microphone is very low on the pulse 2. i already checked mic permissions. i want a replacement or refund, nothing else.",mic issue | chk mic permissions on phone -> fw update advised,helpdesk
DEMO-00057,2025-04-02 20:15,2025-04-02 20:16,2025-04-02 15:07,resolved,chat,DEMO-C00057,DEMO-ORDER,VA-EB-AIR,Connectivity,Normal,Chat Frontline,DEMO-A017,0,0.0,,,N,"it connects for a second and then vanishes from the device list
[ID]
what do i do now?","ticket raised for pairing failure. asked cx to reset the device. reset done, paired ok.",legacy_fd
DEMO-00058,2026-03-07 16:55,2026-03-07 16:58,2026-03-07 17:14,resolved,chat,DEMO-C00058,,VA-EB-PL2,Connectivity,Normal,Chat Frontline,DEMO-A018,0,4.0,,,N,"to the vireo customer care team,

i am writing wth reference to my order of pulse 2 placed on 08 nov.  the sound stutters whneever my phone is in my pocket. i haev kept phone in hand. i request you to porcess a refund to my original payment method.

yours faithfully,
rajat rathore",FW update resolved. Issue: intermittent disconnects. Checked FW 3.7.0.,helpdesk
DEMO-00059,2026-02-26 00:19,2026-02-26 04:36,2026-02-26 05:10,resolved,email,DEMO-C00059,,VA-EB-PL2,App & Firmware,Low,Email Frontline,DEMO-A019,0,3.0,,,N,"after the update prompt it went dark and never came back, need this sorted this week",Contact re update hang. chk FW 3.5.4 rollout. Recovery successful. Follow-up not required. //ROH,helpdesk
DEMO-00060,2025-08-25 11:54,2025-08-25 12:15,2025-08-25 07:02,resolved,social,DEMO-C00060,,VA-SP-ORB,Other,Normal,Chat Frontline,DEMO-A020,0,4.0,,,N,"HI SIR
NEED TO CHANGE DELIVERY ADDRESS
ABHI TAK KUCH NAHI HUA
THE ORBIT SMART SPEAKER",Address updated. Issue: wrong pincode. Updated address with courier.,legacy_fd
DEMO-00061,2026-02-11 10:17,2026-02-11 12:13,2026-02-11 12:31,closed,email,DEMO-C00061,DEMO-ORDER,VA-EB-PL1,Other,Normal,Email Frontline,DEMO-A001,0,,1999.0,CANCEL,N,"i have been a loyal customer and this is how you treat me. this is regarding my pulse. ordered the wrong colour, don't ship it. i already tried cancel button, greyed out. refund. now.",cust contacted re cancel ord. checked shipment status. full rfnd processed (1999).,helpdesk
DEMO-00062,2026-06-27 20:49,2026-06-27 22:40,2026-06-28 22:59,resolved,email,DEMO-C00062,DEMO-ORDER,VA-EB-PL2,Delivery & Shipping,High,Logistics,DEMO-A002,0,3.0,,,Y,"helo
same issue as before, it came back after 2 weeks.
received the wrong item
hello??","prev ticket closed, issue recurred. sorted",helpdesk
DEMO-00063,2025-09-05 00:18,2025-09-05 00:18,2025-09-04 19:09,resolved,chat,DEMO-C00063,DEMO-ORDER,VA-EB-AIR,Charging & Battery,Normal,Chat Frontline,DEMO-A003,0,0.0,,,N,"Hi team, airlite earbuds purchased 2 weeks ago, order [ID].  BATTERY BACKUP IS TERRIBLE NOW. I fully charged and discharged twice. Nothing changed. Please advise. Thanks in advance",cx states rapid battery drain. Checked usage pattern w/ cx. rplc raised after test. Follow-up not required. //ROH,legacy_fd
DEMO-00064,2025-04-12 21:49,2025-04-12 22:49,,pending,chat,DEMO-C00064,,VA-EB-PL1,Billing & Payments,High,Billing,DEMO-A004,0,2.0,2499.0,RETURN-QC-OK,N,"Hello, I bought my Pulse on April 08. Still waiting for my refund. Need this sorted this week. Thanks & regards [NAME]","1. Refund not credited
2. Checked reverse pickup QC status
3. ARN shared with cx -MM",legacy_fd
DEMO-00065,2025-06-22 15:33,2025-06-22 18:28,2025-06-22 13:24,resolved,email,DEMO-C00065,DEMO-ORDER,VA-EB-AIR,Charging & Battery,Normal,Email Frontline,DEMO-A005,0,0.0,,,N,"Product: the AirLite buds
Order: [ID]
Purchased: 27/04
Issue: battery life has dropped to almost nothing
Tried: tuned off always-on display
Expected: resolution","re: poor battery backup | advised disabling anc/aod to test -> advised settings change, cx satisfied (sop 2.7) ~Kavya",legacy_fd
DEMO-00066,2025-05-02 15:49,2025-05-02 16:03,,open,social,DEMO-C00066,DEMO-ORDER,VA-NB-ARC,Charging & Battery,High,Chat Frontline,DEMO-A006,1,0.0,,,N,"helo
battery draining even when not in use
??","advised settings change, cx satisfied. issue: battery draining fast. checked usage pattern with cx.",legacy_fd
DEMO-00067,2026-01-17 10:14,2026-01-17 10:29,2026-01-17 10:40,resolved,chat,DEMO-C00067,,VA-SW-FIT,Billing & Payments,High,Billing,DEMO-A007,0,,,,N,"[NAME] support,
This is regarding my [NAME] band. Your ad said 20% off and the cart says full price.
I tried in caps. Nothing changed.
How do I get this fixed?
Please revert","1. Discount not applied
2. Checked coupon validity
3. Advised coupon terms, resolved -MM",helpdesk
